Device Type,Network Technology,LTE catagory support
Remote Monitoring and Control,LTE Only,Cat 1
Remote Monitoring and Control,LTE Only,Cat 1
Remote Monitoring and Control,LTE Only,Cat 1
Router,LTE with GSM/UMTS,Cat 7
Router,LTE Only,Cat 4
Featurephone,LTE with GSM/UMTS,Cat 4
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Remote Monitoring and Control,LTE Only,Cat 12
Remote Monitoring and Control,LTE Only,Cat 12
Remote Monitoring and Control,LTE Only,Cat 12
Utility / Smart Grid,LTE Only,Cat M1
Router,LTE Only,Cat 6
Remote Monitoring and Control,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat 12
Remote Monitoring and Control,LTE Only,Cat 12
Modem,LTE Only,Cat M1
Vehicle Monitoring,LTE with GSM/UMTS,Cat 6
Vehicle Monitoring,LTE with GSM/UMTS,Cat 6
Vehicle Monitoring,LTE with GSM/UMTS,Cat 6
Asset Tracking,LTE Only,Cat M1
Vehicle Monitoring,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Vehicle Monitoring,LTE with GSM/UMTS,Cat 6
Router,LTE Only,Cat 6
Remote Monitoring and Control,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Modem,LTE Only,Cat M1
Router,LTE Only,Cat 12
Router,LTE Only,Cat 12
Router,LTE Only,Cat 12
Router,LTE Only,Cat 12
Remote Monitoring and Control,LTE Only,Cat 4
Asset Tracking,LTE Only,Cat M1
Laptop,LTE with GSM/UMTS,Cat 12
Laptop,LTE with GSM/UMTS,Cat 12
Laptop,LTE with GSM/UMTS,Cat 16
Laptop,LTE with GSM/UMTS,Cat 16
Laptop,LTE with GSM/UMTS,Cat 16
Rugged Handheld / Smartphone,,
Rugged Handheld / Smartphone,LTE Only,Cat 6
Rugged Handheld / Smartphone,,
Smartphone,LTE with GSM/UMTS and 5G NR NSA,Cat 18
Router,LTE Only,Cat 1
Laptop,LTE with GSM/UMTS,Cat 9
Laptop,LTE with GSM/UMTS,Cat 4
Remote Monitoring and Control,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
